MeanInsideTemp,AVGHumidityInside,OutsideTemp,HumidityOutside,temp,rhum,wspd,pres,prcp
18.45833333,81.26388889,-0.088888889,100,1.2,78,7.2,1029.7,0
19.44324324,85.50810811,-0.137837838,100,1,80,3.6,1026,0
20.51052632,85.22105263,-0.365789474,100,1,80,7.6,1026,0
20.86944444,86.70833333,-0.397222222,100,0.4,86,3.6,1030.3,0
20.98857143,87.25714286,-0.217142857,100,0,86,7.6,1026,0
21.22272727,88.39545455,0.213636364,100,1,80,3.6,1027,0
21.45357143,88.68571429,0.275,100,0.9,81,3.6,1031.6,0
21.72162162,88.73783784,0.494594595,100,2,75,0,1027,0
22.06216216,88.63513514,1.162162162,99.97027027,3,75,3.6,1027,0
22.65294118,88.29705882,1.529411765,97.82941176,4.1,74,7.2,1029.4,0
23.96486486,87.51081081,2.664864865,91.03243243,5,70,3.6,1026,0
23.32105263,84.71842105,3.728947368,84.32631579,6,65,3.6,1026,0
21.48108108,86.32162162,4.964864865,78.16486486,5.4,65,7.2,1028.6,0
22.50833333,79.71388889,7.536111111,59.93611111,4,75,3.6,1026,0
19.33,81.83,6.92,65.765,3,81,7.6,1026,0
19.44889088,81.90398927,6.81765653,66.2422898,1.6,86,3.6,1030.7,0
19.56778175,81.97797853,6.715313059,66.71957961,1,93,7.6,1027,0
19.68667263,82.0519678,6.612969589,67.19686941,1,93,3.6,1027,0
19.80556351,82.12595707,6.510626118,67.67415921,1.7,90,3.6,1031.2,0
19.92445438,82.19994633,6.408282648,68.15144902,2,93,3.6,1028,0
20.04334526,82.2739356,6.305939177,68.62873882,2,93,3.6,1027,0
20.16223614,82.34792487,6.203595707,69.10602862,2.4,90,3.6,1030.4,0
20.28112701,82.42191413,6.101252236,69.58331843,3,87,3.6,1028,0
20.40001789,82.4959034,5.998908766,70.06060823,3,81,3.6,1028,0
20.51890877,82.56989267,5.896565295,70.53789803,2.2,92,3.6,1030.1,0
20.63779964,82.64388193,5.794221825,71.01518784,2,80,3.6,1027,0
20.75669052,82.7178712,5.691878354,71.49247764,2,75,11.2,1027,0
20.8755814,82.79186047,5.589534884,71.96976744,0.7,81,0,1031.8,0
20.99447227,82.86584973,5.487191413,72.44705725,0,86,0,1028,0
21.11336315,82.939839,5.384847943,72.92434705,1,86,0,1028,0
21.23225403,83.01382826,5.282504472,73.40163685,4,70,0,1032.1,0
21.3511449,83.08781753,5.180161002,73.87892665,4,70,3.6,1029,0
21.47003578,83.1618068,5.077817531,74.35621646,6,65,7.6,1028,0
21.58892665,83.23579606,4.975474061,74.83350626,7,60,18,1029,0
21.70781753,83.30978533,4.87313059,75.31079606,8,61,7.6,1026,0
21.82670841,83.3837746,4.77078712,75.78808587,8,57,11.2,1026,0
21.94559928,83.45776386,4.668443649,76.26537567,8.4,55,0,1027.5,0
22.06449016,83.53175313,4.566100179,76.74266547,6,65,7.6,1025,0
22.18338104,83.6057424,4.463756708,77.21995528,3,81,7.6,1026,0
22.30227191,83.67973166,4.361413238,77.69724508,2.4,83,0,1029.6,0
22.42116279,83.75372093,4.259069767,78.17453488,2,87,0,1026,0
22.54005367,83.8277102,4.156726297,78.65182469,2,80,7.6,1026,0
22.65894454,83.90169946,4.054382826,79.12911449,1,83,0,1029.3,0
22.77783542,83.97568873,3.952039356,79.60640429,1,86,3.6,1026,0
22.8967263,84.049678,3.849695886,80.0836941,1,80,3.6,1026,0
23.01561717,84.12366726,3.747352415,80.5609839,-0.6,88,3.6,1028.5,0
23.13450805,84.19765653,3.645008945,81.0382737,0,86,0,1026,0
23.25339893,84.2716458,3.542665474,81.51556351,-1,86,3.6,1025,0
23.3722898,84.34563506,3.440322004,81.99285331,-0.9,92,3.6,1027.8,0
23.49118068,84.41962433,3.337978533,82.47014311,-2,93,3.6,1024,0
23.61007156,84.4936136,3.235635063,82.94743292,-2,93,3.6,1024,0
23.72896243,84.56760286,3.133291592,83.42472272,-2.8,93,0,1029.1,0
23.84785331,84.64159213,3.030948122,83.90201252,-3,93,3.6,1024,0
23.96674419,84.7155814,2.928604651,84.37930233,-1,93,3.6,1024,0
24.08563506,84.78957066,2.826261181,84.85659213,1.4,86,0,1028.2,0
24.20452594,84.86355993,2.72391771,85.33388193,5,70,7.6,1024,0
24.32341682,84.93754919,2.62157424,85.81117174,6,56,7.6,1022,0
24.44230769,85.01153846,2.519230769,86.28846154,8.2,57,3.6,1023.7,0
25.79473684,80.94210526,3.860526316,77,9,53,3.6,1020,0
24.50769231,75.36923077,5.694871795,67.27435897,11,47,3.6,1019,0
24.56410256,72.02820513,9.341025641,51.28974359,11,44,3.6,1020.6,0
22.19736842,65.90526316,14.76052632,35.91052632,9,53,7.6,1019,0
19.42972973,67.27567568,15.18378378,35.68378378,4,75,11.2,1019,0
19.9,82.46944444,10.60833333,50.7,4.6,70,7.2,1022.3,0
19.075,90.98055556,6.738888889,72.27777778,3,75,7.6,1019,0
18.42352941,93.61470588,4.558823529,84.91176471,3,75,0,1018,0
19.15151515,94.53333333,3.16969697,91.89393939,1.8,79,0,1021.2,0
19.5,93.29090909,2.333333333,95.62424242,2,80,7.6,1017,0
18.2375,93.76875,1.540625,98.15,1,80,0,1017,0
17.94666667,93.23,1.176666667,97.89333333,1.7,74,7.2,1018.5,0
18.98148148,92.52962963,0.166666667,99.95925926,1,75,0,1027,0
19.59642857,91.03214286,-0.278571429,99.98214286,-1,86,0,1017,0
19.71612903,90.80322581,-0.14516129,99.47096774,1.7,73,3.6,1016.9,0
19.49722222,90.90277778,-0.658333333,98.85277778,2,75,3.6,1015,0
18.37105263,93.36052632,-1.081578947,99.97368421,1,75,7.6,1015,0
18.01538462,94.3974359,-1.764102564,99.83076923,0.2,77,0,1018.3,0
17.615,94.1425,-2.1875,100,1,69,3.6,1015,0
17.4475,94.62,-2.6975,100,2,80,3.6,1015,0
18.4825,92.765,-2.145,100,7.5,56,3.6,1016.7,0
18.4475,94.7275,-1.7825,99.785,11,37,25.9,1014,0
21.86,94.5375,-0.19,97.1625,13,30,38.9,1013,0
24.52820513,87.62307692,2.635897436,74.98974359,13.2,31,25.2,1012.4,0
21.63157895,75.97894737,4.905263158,62.69473684,13,33,22.3,1011,0
21.63513514,73.23783784,7.310810811,58.32972973,12,35,29.5,1011,0
25.775,75.31944444,11.46666667,46.55,12,34,36,1013,0
24.86470588,72.70588235,16.17058824,32.05,11,37,18.4,1013,0
22.17058824,78.40294118,15.47647059,32.70294118,10,40,35.3,1012,0
20.91515152,80.73333333,13.38787879,35.95151515,10.1,39,25.2,1013.6,0
18.60333333,80.47,10.1,44.2,8,46,3.6,1013,0
18.225,78.63571429,8.203571429,54.08571429,8,46,11.2,1013,0
18.17931034,78.87931034,6.655172414,60.76206897,6.9,51,10.8,1013.5,0
18.48275862,83.86206897,4.665517241,71.77931034,11,35,22.3,1012,0
19.26333333,88.33333333,4.046666667,73.87666667,10,37,33.5,1012,0
19.28518519,88.58888889,2.133333333,84.12592593,9.8,40,18,1010.8,0
19.175,88.68928571,2.282142857,82.62142857,7,53,3.6,1012,0
19.59310345,87.36551724,1.317241379,86.55517241,11,37,11.2,1012,0
18.86470588,88.41176471,0.832352941,90.12941176,7.6,47,7.2,1011.1,0
18.01794872,90.22820513,0.961538462,90,11,35,25.9,1011,0
17.98461538,90.27435897,0.823076923,90.02820513,9,43,14.8,1011,0
17.72105263,89.80789474,0.360526316,92.50789474,12.6,28,36,1010.5,0
17.50789474,90.40263158,-0.028947368,94.54473684,1.7,64,22.7,1011.7,0
18.73157895,91.43947368,1.302631579,88.58947368,11,35,7.6,1012,0
19.46052632,92.01842105,0.123684211,93.93421053,11.3,34,25.2,1012.4,0
20.17,94.53,1.465,88.71,13,30,25.9,1012,0
21.08888889,92.53611111,2.766666667,83.11111111,15,29,33.5,1011,0
21.18285714,89.38,4.288571429,75.77714286,15,28,32.4,1008.1,0
23.42972973,89.95405405,7.972972973,57.86756757,15,27,25.9,1009,0
25.03846154,74.25384615,11.90769231,40.51538462,15,29,33.5,1009,0
